DATE,(DAY),TCARS,TOTAL$,TTL/C,EXTRA$,EX$/C,%EX,,RVS EOD/T,EOD/R,bad_2,bad_3,bad_4,year
,1-15,(SAT),206,2981. 50,14.47,881. 63,4.77,64,0,0,0,,,2005
*,1-16,(SUN),0,,,,,,,,,,,2005
,1-17,(MON),322,4372.5,13.58,868.03,2.88,56,1,0,0,,,2005
,1-18,(TUE),305,4166.84,13.66,821. 23,2.83,50,1,0,0,,,2005
,1-19,(WED),271,3777.46,13.94,719.64,2.78,54,1,0,0,,,2005
,1-20,(THU),242,3448.91,14.25,705.55,3.05,57,1,0,0,,,2005
,1-21,(FRI),303,3757.16,12.4,944.98,3.27,58,1,0,0,,,2005
,1-22,(SAT),366,5513.96,15.07,1473.4,4.23,66,0,0,0,,,2005
*,1-23,(SUN),0,,,,,,,,,,,2005
,1-24,(MON),261,3543.81,13.58,730.51,2.95,56,0,0,0,,,2005
,1-25,(TUE),292,3448.64,11.81,714.04,2.59,51,0,0,0,,,2005
,1-26,(WED),290,4047.13,13.96,849.83,3.07,55,0,0,0,,,2005
,1-27,(THU),274,4010.87,14.64,840.65,3.18,52,0,0,0,,,2005
,1-28,(FRI),308,4464.25,14.49,1092.48,3.81,57,2,0,0,,,2005
,1-29,(SAT),401,6170.96,15.39,1566.76,4.13,65,2,0,0,,,2005
*,1-30,(SUN),0,,,,,,,,,,,2005
,1-31,(MON),381,5344.95,14.03,1040.86,2.83,54,1,,,,,2005
12-01 (WED),203,2294.24,11.3,553.75,2.9,54,0,0,0,,,,,2004
12-02 (THU),220,3038.78,13.81,632.94,3.04,51,1,0,0,,,,,2004
12-03 (FRI),286,3928.76,13.74,905.8,3.32,60,0,0,0,,,,,2004
12-04 (SAT),368,4971.45,13.51,1290.05,3.71,65,1,0,0,,,,,2004
*12-05 (SUN),0,,,,,,,,,,,,,2004
12-06 (MON),236,3075.55,13.03,643.51,2.94,57,0,0,0,,,,,2004
12-07 (TUE),194,2571.87,13.26,574.38,3.26,54,1,0,0,,,,,2004
12-08 (WED),210,2496.38,11.89,566.71,2.92,50,3,0,0,,,,,2004
12-09 (THU),232,3297.22,14.21,612.31,2.85,53,0,0,0,,,,,2004
12-10 (FRI),185,2511.99,13.58,527.09,3.05,50,1,0,0,,,,,2004
12-11 (SAT),276,3972.46,14.39,1008.27,4.05,64,1,0,0,,,,,2004
*1 2-12 (SUN),0,,,,,,,,,,,,,2004
12-13 (MON),244,3326.48,13.63,758.55,3.33,58,0,0,0,,,,,2004
12-14 (TUE),199,2650.69,13.32,629.17,3.5,58,1,0,0,,,,,2004
12-15 (WED),166,2189.64,13.19,457.19,2.93,53,2,0,0,,,,,2004
12-16 (THU),241,2735.25,11. 35,766.5,3.36,61,0,0,0,,,,,2004
12-17 (FRI),243,3587.47,14.76,932.64,4.07,62,2,0,0,,,,,2004
12-18 (SAT),347,4932.38,14.21,1291.94,3.96,65,1,0,0,,,,,2004
*1 2-19 (SUN),0,,,,,,,,,,,,,2004
12-20 (MON),276,3800.08,13.77,875.69,3.32,57,1,0,0,,,,,2004
12-21 (TUE),276,3757.96,13.62,839.41,3.2,56,0,0,0,,,,,2004
12-22 (WED),286,3936.01,13.76,882.6,3.21,60,1,0,0,,,,,2004
12-23 (THU),72,1042.73,14.48,260.79,3.84,59,1,0,0,,,,,2004
12-24 (FRI),84,1259.98,15,412.54,5.57,80,0,0,0,,,,,2004
*12-25 (SAT),0,,,,,,,,,,,,,2004
*12-26 (SUN),0,,,,,,,,,,,,,2004
12-27 (MON),350,4426.88,12.65,902.31,2.82,50,2,0,0,,,,,2004
12-28 (TUE),274,3815.37,13.92,782.42,2.95,57,0,0,0,,,,,2004
12 -29 (WED),324,4536.89,14,1035.42,3.27,60,0,0,0,,,,,2004
11-01,(MON),269,3654.65,13.59,843.13,3.31,53,0,0,,,,,2004
11-02,(TUE),305,4131.07,13.54,924.81,3.16,55,2,0,0,,,,2004
11-03,(WED),283,3286.6,11.61,871. 44,3.3,61,0,0,0,,,,2004
11-04,(THU),278,3867.17,13.91,841.97,3.17,56,0,0,0,,,,2004
11 -05,(FRI),216,3084.7,14.28,700.44,3.47,57,1,0,0,,,,2004
11 -06,(SAT),369,5383.17,14.59,1359.75,3.85,62,0,0,0,,,,2004
*11-07,(SUN),0,,,,,,,0,0,,,,2004
11-08,(MON),280,3653.11,13.05,677.27,2.64,52,0,,,,,,2004
11 -09,(TUE),253,3333.16,13.17,646.63,2.64,52,2,0,0,,,,2004
11-10,(WED),276,3946.08,14.3,973.63,3.69,60,1,0,0,,,,2004
11 -11,(THU),261,3034.1,11.62,801.66,3.26,54,0,0,0,,,,2004
11-12,(FRI),313,4301. 62,13.74,1040.58,3.53,61,1,0,0,,,,2004
11 -13,(SAT),395,5746.06,14.55,1359.78,3.59,61,1,0,0,,,,2004
*11-14,(SUN),0,,,,,,,,,,,,2004
1 1-15,(MON),275,2979.42,10.83,840.64,3.38,59,2,0,0,,,,2004
11-16,(TUE),263,3285.18,12.49,716.37,2.88,52,3,0,0,,,,2004
11-17,(WED),287,3869.95,13.48,820.34,2.98,57,1,1,1,,,,2004
11-18,(THU),308,4099.77,13.31,914.56,3.05,51,0,3,0,,,,2004
1 1-19,(FRI),374,5083.72,13.59,1074.28,3.04,59,0,0,0,,,,2004
11-20,(SAT),410,5870.04,14.32,1488.02,3.82,65,0,0,0,,,,2004
*11-21,(SUN),0,,,,,,,,,,,,2004
11-22,(MON),302,4167.32,13.8,863.88,2.96,51,1,2,2,,,,2004
11 -23,(TUE),257,3651.63,14.21,914.14,3.75,61,1,0,0,,,,2004
11-24,(WED),333,4531.76,13.61,1073.78,3.49,63,0,0,0,,,,2004
*ll-25,(THU),0,,,,,,,,,,,,2004
11 -26,(FRI),259,3579.29,13.82,751. 55,3.07,55,0,0,0,,,,2004
11-27,(SAT),292,4021.55,13.77,939.02,3.4,64,2,0,0,,,,2004
*11 -28,(SUN),0,,,,,,,,,,,,2004
11-29,(MON),260,3348.91,12.88,705.05,2.97,57,2,0,0,,,,2004
11 -30,(TUE),218,2986.65,13.7,627.24,3.06,53,0,0,0,,,,2004
10-01,(FRI),210,2752.3,13.11,802.44,4.05,62,2,0,0,,,,2004
10-02,(SAT),300,4690.57,15.64,1405.76,4.93,69,0,0,0,,,,2004
*10-03,(SUN),0,,,,,,,,,,,,2004
10-04,(MON),224,2996.62,13.38,695.02,3.33,58,0,0,0,,,,2004
10-05,(TUE),203,2939.86,14.48,660.09,3.44,61,3,0,0,,,,2004
10-06,(WED),200,2710.21,13.55,662.23,3.56,56,0,0,0,,,,2004
10-07,(THU),159,2308.08,14.52,670.99,4.33,63,0,0,0,,,,2004
10-08,(FRI),228,3055.86,13.4,680.95,3.27,61,0,0,0,,,,2004
10-09,(SAT),332,4817.26,14.51,1378.77,4.45,68,0,0,0,,,,2004
10-10,(SUN),0,,,,,,,,,,,,2004
10-11,(MON),104,1320.62,12.7,300.52,3.1,59,3,0,0,,,,2004
10-12,(TUE),145,2010.6,13.87,505.1,3.86,69,0,0,0,,,,2004
10-13,(WED),204,2606.11,12.78,509.14,2.72,53,1,0,0,,,,2004
10-14,(THU),196,2630.92,13.42,574.92,3.07,55,0,0,0,,,,2004
10 -15,(FRI),181,2107.82,11.65,592.75,3.59,63,0,0,0,,,,2004
10-16,(SAT),325,4855.13,14.94,1334.27,4.3,69,0,0,0,,,,2004
*10-17,(SUN),0,,,,,,,,,,,,2004
10-18,(MON),248,3441.99,13.88,914.98,3.96,62,0,0,0,,,,2004
10-19,(TUE),183,2449.75,13.39,464.48,2.78,50,0,0,0,,,,2004
10-20,(WED),197,2584.43,13.12,560.85,3.02,58,1,0,0,,,,2004
10-21,(THU),216,2838.07,13.14,779.2,3.75,60,1,0,0,,,,2004
10-22,(FRI),283,3987.36,14.09,929.61,3.47,60,0,0,0,,,,2004
10-23,(SAT),311,4494.77,14.45,997.97,3.34,65,1,0,0,,,,2004
*10-24,(SUN),0,,,,,,,,,,,,2004
10-25,(MON),215,2749.77,12.79,651. 22,3.39,56,0,0,0,,,,2004
10-26,(TUE),238,3309.66,13.91,733.84,3.31,57,1,0,0,,,,2004
10-27,(WED),224,2652.23,11. 84,656.05,3.09,58,2,0,0,,,,2004
10-28,(THU),241,3378.88,14.02,746.48,3.23,55,1,0,0,,,,2004
10-29,(FRI),278,3813.74,13.72,907.2,3.49,63,0,0,0,,,,2004
10-30,(SAT),363,5188.42,14.29,1282.1,3.77,66,0,0,0,,,,2004
*10-31,(SUN),0,,,,,,,,,,,,2004
,9-01,(WED),72,885.69,12.3,281.17,4.69,60,0,0,0,,,2004
,9-02,(THU),65,791.71,12.18,253.13,4.96,59,0,0,0,,,2004
,9-03,(FRI),114,1606.09,14.09,393.77,3.9,58,0,0,0,,,2004
*,9-04,(SAT),0,,,,,,,,,,,2004
*,9-05,(SUN),0,,,,,,,,,,,2004
*,9-06,(MON),0,,,,,,,,,,,2004
,9-07,(TUE),32,389.32,12.17,136.82,5.7,67,0,0,0,,,2004
,9-08,(WED),125,1644.11,13.15,361. 29,3.38,58,0,0,0,,,2004
,9-09,(THU),124,1668.89,13.46,416,3.78,62,0,1,1,,,2004
,9-10,(FRI),120,1500.74,12.51,423.25,4.36,69,0,0,0,,,2004
,9-11,(SAT),145,2239.01,15.44,705.47,5.08,73,0,0,0,,,2004
*,9-12,(SUN),0,,,,,,,,,,,2004
*,9-13,(MON),0,,,,,,,,,,,2004
*,9-14,(TUE},0,,,,,,,,,,,2004
,9-15,(WED),152,2060.62,13.56,536.71,4.1,66,1,0,0,,,2004
,9-16,(THU),218,3173.18,14.56,810.4,4.01,64,0,0,0,,,2004
,9-17,(FRI},280,4019.74,14.36,1028.26,3.88,70,2,0,0,,,2004
,9-18,(SAT},352,5223.1,14.84,1409.03,4.21,72,0,1,1,,,2004
*,9-19,(SUN),0,,,,,,,,,,,2004
,9-20,(MON},120,1754.9,14.62,455.5,4.14,66,0,0,0,,,2004
,9-21,(TUE),114,1611.63,14.14,429.63,4.09,65,1,0,0,,,2004
,9-22,(WED),83,937.56,11.3,224.02,3.29,63,1,0,0,,,2004
,9-23,(THU),184,2476.65,13.46,636.67,3.88,62,0,0,0,,,2004
,9-24,(FRI),223,2872.31,12.88,735.63,3.73,65,4,0,0,,,2004
,9-25,(SAT),201,2943.08,14.64,817.62,4.33,66,0,0,0,,,2004
*,9-26,(SUN),0,,,,,,,,,,,2004
,9-27,(MON},171,2148.98,12.57,537.93,3.54,64,0,0,0,,,2004
,9-28,(TUE),148,1890.83,12.78,433.73,3.14,60,0,0,0,,,2004
,9-29,(WED),174,2302.65,13.23,513.73,3.29,60,0,0,0,,,2004
,9-30,(THU),191,2727.03,14.28,699.94,3.82,66,1,0,0,,,2004
,,,,--------,- - - - -,--------,,,,,,,,2004
*,8-01 (SUN),0,,,,,,,,,,,,2004
,8-02 (MON),31,396.47,12.79,78.52,3.14,52,2,0 0,,0 0,,,2004
,8-03 (TUE),65,665.07,10.23,187.53,3.75,56,0,,,,,,2004
,8-04 (WED),124,1655.5,13.35,487.93,4.48,61,0,0,,0,,,2004
,8-05 (THU),38,605.04,15.92,199.09,6.03,70,0,0,,0,,,2004
,8-06 (FRI),15,170.78,11. 39,18.28,1.31,43,0,0,,0,,,2004
,0 8-07 (SAT),167,2666.06,15.96,890.35,6.14,69,4,0,,,,,2004
*,8-08 (SUN),0,,,,,,,,,,,,2004
,8-09 (MON),181,2393.95,13.23,635.49,4,62,0,0,,0,,,2004
,8-10 (TUE),136,1883.02,13.85,456.5,3.68,66,2,0,,0,,,2004
,8-11 (WED),130,1517.91,11.68,423.18,3.65,64,2,0,,0,,,2004
,8-12 (THU),51,735.92,14.43,219.43,4.48,65,3,0,,0,,,2004
*,8-13 (FRI),0,,,,,,,,,,,,2004
,8-14 (SAT),0,,,,,,,,,,,,2004
*,8-15 (SUN),0,,,,,,,,,,,,2004
,8-16 (MON),245,3297.39,13.46,870.88,3.99,65,0,0,,0,,,2004
,8-17 (TUE),161,2081.96,12.93,494.38,3.41,66,2,0,,0,,,2004
,8-18 (WED),141,1894.56,13.44,482.5,3.74,66,1,0,,0,,,2004
,8-19 (THU),127,1574.18,12.4,399.4,3.36,65,0,0,,0,,,2004
,8-20 (FRI},229,2992.5,13.07,778.05,3.91,65,0,0,,0,,,2004
,8-21 (SAT),318,4661.94,14.66,1300.88,4.32,69,0,0,,0,,,2004
*,8-22 (SUN),0,,,,,,,,,,,,2004
,8-23 (MON),138,1790.06,12.97,418.62,3.49,63,0,0,,0,,,2004
,8-24 (TUE),83,1091.38,13.15,286.19,3.92,68,1,0,,0,,,2004
,8-25 (WED),48,645.17,13.44,183.65,4.17,52,0,0,,0,,,2004
,8-26 (THU),140,1837.99,13.13,591. 90,5.06,74,0,0,,0,,,2004
,8-27 (FRI),202,2916.86,14.44,680.7,3.74,63,0,0,,0,,,2004
,8-28 (SAT),298,4515.45,15.15,1262.68,4.53,68,0,0,,0,,,2004
*,8-29 (SUN),0,,,,,,,,,,,,2004
,8-30 (MON),168,2086.06,12.42,545.45,3.64,63,1,0,,0,,,2004
,8-31 (TUE),135,1814.54,13.44,517.4,4.07,61,,,,,,,2004
,7-01,(THU),127,1733.42,13.65,541. 32,,4.88,68,1,0,0,,2004
,7-02,(FRI),207,2986.29,14.43,740.44,,3.86,68,1,0,0,,2004
,7-03,(SAT),187,2772.49,14.83,759.17,,4.41,72,0,0,0,,2004
*,7-04,( SUN),0,,,,,,,,,,,2004
,7-05,(MON),72,1134.28,15.75,267.44,,3.82,64,0,0,0,,2004
,7-06,(TUE),130,1727.46,13.29,408,,3.43,55,0,0,0,,2004
,7-07,(WED),153,2122.74,13.87,473.86,,3.38,66,0,0,0,,2004
,7-08,(THU),169,2262.85,13.39,569.55,,3.67,60,0,0,0,,2004
,7-09,(FRI),214,3040.64,14.21,746.7,,3.68,67,0,0,0,,2004
,7-10,(SAT),287,4150.88,14.46,1013.94,,3.74,63,3,0,0,,2004
*,7-11,(SUN),0,,,,,,,,,,,2004
*,7-12,(MON),0,,,,,,,,,,,2004
*,7-13,(TUE),0,,,,,,,,,,,2004
*,7-14,(WED),0,,,,,,,,,,,2004
,7-15,(THU),217,2899.65,13.36,705.22,,3.71,62,0,0,0,,2004
,7-16,(FRI),245,3399.86,13.88,872.44,,3.88,69,0,0,0,,2004
,7-17,(SAT),195,2972.89,15.25,815.16,,4.55,65,0,0,0,,2004
*,7-18,(SUN),0,,,,,,,,,,,2004
,7-19,(MON),28,422.77,15.1,127.82,,5.56,65,2,0,0,,2004
,7-20,(TUE),13,111.71,8.59,31.21,,3.47,56,0,0,0,,2004
,7-21,(WED),120,1371.63,11.43,288.6,,2.83,56,0,0,0,,2004
,7-22,(THU),142,1971.87,13.89,570.37,,4.29,59,0,0,0,,2004
,7-23,(FRI),208,2955.58,14.21,747.73,,3.91,62,0,0,0,,2004
,7-24,(SAT),245,3748.72,15.3,1239.62,,5.32,70,0,0,0,,2004
*,7-25,(SUN),0,,,,,,,,,,,2004
,7-26,(MON),103,1576.04,15.3,503.04,,5.08,72,0,0,0,,2004
,7-27,(TUE),115,1372.77,11.94,273.28,,2.73,55,0,0,0,,2004
,7-28,(WED),43,530.79,12.34,103.75,,2.88,56,1,0,0,,2004
,7-29,(THU),79,992.24,12.56,251.75,,3.81,67,1,0,0,,2004
,7-30,(FRI),102,1557.46,15.27,483.04,,5.25,72,0,0,0,,2004
,7-31,(SAT),226,3413.45,15.1,1153.42,,5.65,78,0,0,0,,2004
,6-01,(TUE),231,3087.43,13.37,712.52,3.35,59,1,0,0,,,2004
,6-02,(WED),200,2868.07,14.34,713.06,3.83,62,1,0,0,,,2004
,6-03,(THU),182,2578.69,14.17,585.27,3.4,57,6,0,0,,,2004
,6-04,(FRI),181,2446.7,13.52,515.78,3.11,63,0,0,0,,,2004
,6-05,(SAT),222,3164.66,14.26,943.31,4.84,68,0,0,0,,,2004
*,6-06,(SUN),0,,,,,,,,,,,2004
,6-07,(MON),118,1632.79,13.84,436.37,4.08,64,1,0,0,,,2004
,6-08,(TUE),88,1098.66,12.48,219.64,2.75,60,0,0,0,,,2004
,6-09,(WED),61,759.43,12.45,192.92,3.57,57,0,2,1,,,2004
,6-10,(THU),100,1210.91,12.11,311.7,3.46,64,4,0,0,,,2004
,6-11,(FRI),185,2408.81,13.02,598.89,3.86,70,0,0,0,,,2004
,6-12,(SAT),220,3192.97,14.51,898.47,4.4,69,0,1,0,,,2004
*,6-13,(SUN),0,,,,,,,,,,,2004
,6-14,(MON),101,1386.34,13.73,373.33,4.01,66,0,0,0,,,2004
,6-15,(TUE),92,1132.58,12.31,244.57,3.02,63,0,0,0,,,2004
,6-16,(WED),69,907.01,13.15,191. 4 7,2.9,47,0,0,0,,,2004
,6-17,(THU),143,1802.43,12.6,505.76,4.11,70,1,0,0,,,2004
,6-18,(FRI),145,2251. 86,15.53,641.55,4.75,72,0,0,0,,,2004
,6-19,(SAT),237,3410.76,14.39,880.86,4 . 06,67,1,0,0,,,2004
*,6-20,(SUN),0,,,,,,,,,,,2004
,6-21,(MON),166,2262.17,13.63,548.21,3.54,65,0,1,0,,,2004
,6-22,(TUE),158,2307.32,14.6,629.86,4.23,60,2,0,0,,,2004
,6-23,(WED),139,1907.97,13.73,438.03,3.4,60,2,0,0,,,2004
,6-24,(THU),130,1860.51,14.31,503.52,4.16,63,0,0,0,,,2004
,6-25,(FRI),213,3022.8,14.19,770.92,3.95,66,0,0,0,,,2004
,6-26,(SAT),227,3015.61,13.28,1135.79,5.31,77,1,0,0,,,2004
*,6-27,(SUN),0,,,,,,,,,,,2004
,6-28,(MON),65,843.8,12.98,233.81,4.41,64,1,0,0,,,2004
,6-29,(TUE),92,1277.83,13.89,350.38,4.22,71,0,0,0,,,2004
,6-30,(WED),68,935.23,13.75,274.31,4.81,67,0,0,0,,,2004
,5-01,(SAT),256,3859.1,15.07,1014.31,4.19,68,1,0,0,,,2004
*,5-02,(SUN),0,,,,,,,0,0,,,2004
,5-03,(MON),76,1087.04,14.3,292.02,4.06,54,2,,,,,2004
,5-04,(TUE),197,2593.13,13.16,664.16,3.84,62,1,0,0,,,2004
,5-05,(WED),186,2409.28,12.95,538.22,3.09,57,1,0,0,,,2004
,5-06,(THU),183,2284.3,12.48,514.34,2.94,58,2,0,0,,,2004
,5-07,(FRI),279,3864.33,13.85,931.42,3.62,60,0,0,0,,,2004
,5-08,(SAT),328,4877.31,14.87,1370.81,4.44,69,2,0,0,,,2004
*,5-09,(SUN),0,,,,,,,,,,,2004
,5-10,(MON),166,2172.61,13.09,447.19,2.94,54,0,0,0,,,2004
,5-11,(TUE),121,1485.88,12.28,276 .44,2.61,50,0,0,0,,,2004
,5-12,(WED),177,2330.64,13.17,526.71,3.33,62,0,0,0,,,2004
,5-13,(THU),229,2765.68,12.08,702.86,3.19,57,0,0,0,,,2004
,5-14,(FRI),275,3922.82,14.26,956.94,3.71,67,1,0,0,,,2004
,5-15,(SAT),273,4001.35,14.66,1015.88,3.92,67,0,0,0,,,2004
*,5-16,(SUN),0,,,,,,,,,,,2004
,5-17,(MON),169,2136.52,12.64,520.03,3.56,63,0,1,1,,,2004
,5-18,(TUE),185,2480.56,13.41,530.12,3.14,56,2,2,1,,,2004
,5-19,(WED),181,2580.64,14.26,699.16,4.11,66,2,0,0,,,2004
,5-20,(THU),175,2011,11.49,482.38,3,55,0,0,0,,,2004
,5-21,(FRI),220,3042.25,13.83,753.41,3.71,66,1,0,0,,,2004
,5-22,(SAT),321,4732.86,14.74,1282.48,4.26,72,1,0,0,,,2004
*,5-23,(SUN),0,,,,,,,,,,,2004
,5-24,(MON),221,2630.17,11.9,766.76,3.83,65,1,0,0,,,2004
,5-25,(TUE),214,2919.52,13.64,672.51,3.31,63,0,0,0,,,2004
,5-26,(WED),237,3148.35,13.28,729.98,3.35,64,0,0,0,,,2004
,5-27,(THU),217,3126.09,14.41,784.69,3.77,68,1,0,0,,,2004
,5-28,(FRI),290,4234.92,14.6,1082.08,4.02,70,4,1,0,,,2004
,5-29,(SAT),325,4964.86,15.28,1403.52,4.59,72,0,0,0,,,2004
*,5-30,(SUN),0,,,,,,,,,,,2004
,5-31,(MON),0,,,,,,,,,,,2004
,4-01 (THU),352,4249.74,12.07,965.34,2.83,55,1,0,0,,,,2004
,4-02 (FRI),423,5830.41,13.78,1199.02,2.95,56,1,0,0,,,,2004
,4-03 (SAT),448,6421.19,14.33,1583.71,3.65,59,0,0,0,,,,2004
*,4-04 (SUN),0,,,,,,,,,,,,2004
,4-05 (MON),307,4235.74,13.8,944.74,3.26,56,2,0,0,,,,2004
,4 - 06 (TUE),291,3847.4,13.22,766.36,2.8,55,0,0,0,,,,2004
,4-07 (WED),214,3037.19,14.19,678.82,3.38,62,0,1,0,,,,2004
,4-08 (THU),262,3488.46,13.31,896.97,3.53,56,1,0,0,,,,2004
,4-09 (FRI),327,4675.43,14.3,1030.58,3.35,57,0,0,0,,,,2004
,4 - 10 (SAT),381,5407.22,14.19,1337.67,3.74,67,0,0,0,,,,2004
*,4-11 (SUN),0,,,,,,,,,,,,2004
*,4-12 (MON),0,,,,,,,,,,,,2004
,4-13 (TUE),42,449.07,10.69,79.05,2.26,51,0,0,0,,,,2004
,4-14 (WED),256,3234.31,12.63,703.85,3.16,59,1,0,0,,,,2004
,4-15 (THU),293,3814.43,13.02,868.28,3.17,57,1,0,0,,,,2004
,4-16 (FRI),360,5192.12,14.42,1293.69,3.8,62,0,0,0,,,,2004
,4 - 17 (SAT),364,5357.31,14.72,1372.14,3.91,63,0,0,0,,,,2004
*,4 - 18 (SUN),0,,,,,,,,,,,,2004
,4-19 (MON),277,3848.95,13.9,691. 22,2 . 64,49,0,0,0,,,,2004
,4-20 (TUE),256,3720.59,14.53,814.74,3.33,59,2,0,0,,,,2004
,4 - 21 (WED),264,3624.98,13.73,900.34,3.66,59,1,0,0,,,,2004
,4-22 (THU),270,3844.8,14.24,816.01,3.16,56,1,0,0,,,,2004
,4 - 23 (FRI),269,3755.84,13.96,917 . 91,3.64,65,0,0,0,,,,2004
,4-24 (SAT},397,5581.95,14.06,1262.49,3.31,61,0,0,0,,,,2004
*,4 - 25 (SUN),0,,,,,,,,,,,,2004
,3-01,(MON),257,3370.31,13.11,713.25,2.98,54,3,0,0,,,2004
,3-02,(TUE),261,3580.7,13.72,741.29,3.03,50,1,0,0,,,2004
,3-03,(WED),211,2941.49,13.94,594.61,2.91,50,0,0,0,,,2004
,3-04,(THU),288,3778.49,13.12,605.18,2.23,45,2,0,0,,,2004
,3-05,(FRI),351,4944.42,14.09,1039.62,3.12,57,0,0,0,,,2004
,3-06,(SAT),424,6042.58,14.25,1486.59,3.71,63,1,0,0,,,2004
*,3-07,(SUN),0,,,,,,,,,,,2004
,3-08,(MON),394,5455.02,13.85,1271. 42,3.36,52,0,0,0,,,2004
,3-09,(TUE),392,5272.31,13.45,995.37,2.68,52,1,0,0,,,2004
,3-10,(WED),315,4167.04,13.23,796.67,2.69,52,0,0,0,,,2004
,3-11,(THU),317,3851.19,12.15,981. 88,3.17,54,0,1,1,,,2004
,3-12,(FRI),395,5480.48,13.87,1086.11,2.87,58,0,0,0,,,2004
,3-13,(SAT),428,6172.85,14.42,1414.1,3.38,60,2,0,0,,,2004
*,3-14,(SUN),0,,,,,,,,,,,2004
,3-15,(MON),180,2420.37,13.45,432.05,2.62,48,0,0,0,,,2004
,3-16,(TUE),100,1366.23,13.66,232.31,2.47,49,2,0,0,,,2004
,3-17,(WED),358,4818.39,13.46,1015.26,3.05,50,1,0,0,,,2004
,3-18,(THU),367,4565.36,12.44,945.96,2.7,52,0,1,1,,,2004
,3-19,(FRI),401,5549.31,13.84,1202.21,3.16,58,0,0,0,,,2004
,3-20,(SAT),434,6087.75,14.03,1331.22,3.21,60,0,1,0,,,2004
*,3-21,(SUN),0,,,,,,,,,,,2004
,3-22,(MON),331,4621.13,13.96,996.1,3.11,52,1,0,0,,,2004
,3-23,(TUE),332,4434.64,13.36,834.15,2.6,47,0,0,0,,,2004
,3-24,(WED),284,3766.45,13.26,686.95,2.55,54,0,0,0,,,2004
,3-25,(THU),216,2725.58,12.62,578.72,2.81,50,0,0,0,,,2004
,3-26,(FRI),397,5452.76,13.73,1297.79,3.46,58,2,0,0,,,2004
,3-27,(SAT),487,6749.6,13.86,1620.24,3.47,67,1,0,0,,,2004
*,3-28,(SUN),0,,,,,,,,,,,2004
,3-29,(MON),395,5278.79,13.36,1051.66,2.81,53,1,0,0,,,2004
,3-30,(TUE),412,5541.86,13.45,1112.83,2.82,52,0,0,0,,,2004
,3-31,(WED),343,4587.3,13.37,842.72,2.54,55,0,0,0,,,2004
*,2-01,(SUN),0,,,,,,,,,,,2004
,2-02,(MON),298,3829.81,12.85,708.28,2.53,56,1,0,0,,,2004
,2-03,(TUE),332,4345.61,13.09,852.62,2.73,55,1,0,0,,,2004
,2-04,(WED),344,4887.43,14.21,1144.42,3.5,57,0,0,0,,,2004
,2-05,(THU),381,4345.86,11.41,1011.85,2.82,54,1,0,0,,,2004
,2-06,(FRI),365,5055.27,13.85,1141.45,3.35,56,0,0,0,,,2004
,2-07,(SAT),282,3961.33,14.05,954.35,3.61,64,0,0,0,,,2004
*,2-08,(SUN),0,,,,,,,,,,,2004
,2-09,(MON),364,4855.48,13.34,924.46,2.69,53,1,0,0,,,2004
,2-10,(TUE),382,4990.56,13.06,979.14,2.74,50,1,0,0,,,2004
,2-11,(WED),336,4631.47,13.78,943.39,2.88,53,1,0,0,,,2004
,2-12,(THU),356,4174.05,11. 72,885.14,2.59,50,1,0,0,,,2004
,2-13,(FRI),333,4743.57,14.24,1016.74,3.21,54,0,0,0,,,2004
,2-14,(SAT),422,6092.26,14.44,1474.33,3.63,62,1,0,0,,,2004
*,2-15,(SUN),0,,,,,,,,,,,2004
,2-16,(MON),290,3969.99,13.69,842.54,3.12,54,0,0,0,,,2004
,2-17,(TUE),160,2162.24,13.51,395.29,2.6,47,1,0,0,,,2004
,2-18,(WED),285,3804.02,13.35,762.93,2.83,49,1,0,0,,,2004
,2-19,(THU),338,4565.72,13.51,765.8,2.34,48,1,0,0,,,2004
,2-20,(FRI),318,4350.59,13.68,888.64,2.93,56,0,0,0,,,2004
,2-21,(SAT),389,5492.14,14.12,1242.41,3.39,56,2,0,0,,,2004
*,2-22,(SUN),0,,,,,,,,,,,2004
,2-23,(MON),350,4661.06,13.32,996.4,2.99,56,1,0,0,,,2004
,2-24,(TUE),274,4058.08,14.81,950.27,3.63,59,1,0,0,,,2004
,2-25,(WED),31,348.5,11. 24,41.5,1.48,50,0,0,0,,,2004
,2-26,(THU),185,2301.09,12.44,441. 05,2.56,48,1,0,0,,,2004
,2-27,(FRI),181,2412.17,13.33,560.25,3.48,65,2,0,0,,,2004
,2-28,(SAT),350,4858.55,13.88,1230.07,3.76,66,1,0,0,,,2004
*,2-29,(SUN),0,,,,,,,,,,,2004
*,1-01,(THU),0,,,,,,,,,,,2004
,1-02,(FRI),317,4451. 33,,14.04,1029.48,3.45,52,0,0,0,,2004
,1-03,(SAT),383,5391. 33,,14.08,1185.95,3.21,56,1,0,0,,2004
*,1-04,(SUN),0,,,,,,,,,,,2004
,1-05,(MON),395,5195.05,,13.15,1058.27,2.78,50,1,0,0,,2004
,1-06,(TUE),330,4261.18,,12.91,812.62,2.6,52,0,0,0,,2004
,1-07,(WED),305,4061.03,,13.31,785.48,2.68,51,0,0,0,,2004
,1-08,(THU),329,4283.67,,13.02,806.58,2.58,49,0,0,0,,2004
,1-09,(FRI),323,3802.16,,11.77,954.88,3.13,57,0,1,1,,2004
,1-10,(SAT),331,4671.22,,14.11,1089.81,3.46,60,3,0,0,,2004
