DATE,(DAY),TCARS,TOTAL$,TTL/C,EXTRA$,EX$/C,%EX,,RVS EOD/T,EOD/R,bad_2,bad_3,bad_4,year
10 -15,(SAT),295,4412.6,14.96,1198.01,4.37,73,0,0,0,,,,2005
*10-16,(SUN),0,,,,,,,,,,,,2005
10-17,(MON),261,3793.63,14.53,941.77,3.89,60,0,0,0,,,,2005
10 -18,(TUE),191,2799.53,14.66,730.76,4.11,57,1,0,0,,,,2005
10 -19,(WED),104,1414.19,13.6,351. 93,3.59,55,1,0,0,,,,2005
10-20,(THU),77,1050.98,13.65,255.47,3.7,65,0,0,0,,,,2005
*10-21,(FRI),0,,,,,,,,,,,,2005
*10-22,(SAT),0,,,,,,,,,,,,2005
*10-23,(SUN),0,,,,,,,,,,,,2005
10 -24,(MON),0,,,,,,,,,,,,2005
*10-25,(TUE),0,,,,,,,,,,,,2005
10-26,(WED),221,2559.49,11.58,501.61,2.39,59,0,0,0,,,,2005
10 -27,(THU),340,4647.16,13.67,883.76,2.69,60,2,0,0,,,,2005
10-28,(FRI),422,5306.54,12.57,1059.64,2.62,60,0,0,0,,,,2005
10-29,(SAT),493,7200.73,14.61,1968.92,4.14,66,2,0,0,,,,2005
*10 -30,(SUN),0,,,,,,,,,,,,2005
10-31,(MON),397,5493.56,13.84,1058.36,2.78,58,0,0,0,,,,2005
,9-01,(THU),157,2200.66,14.02,553.86,3.69,64,2,0,0,,,2005
,9-02,(FRI),191,2823.59,14.78,702.75,4.02,69,4,0,0,,,2005
,9-03,(SAT),193,3066.94,15.89,912.13,5.07,75,0,0,0,,,2005
*,9-04,(SUN),0,,,,,,,,,,,2005
*,9-05,(MON),0,,,,,,,,,,,2005
,9 - 06,(TUE),146,2035.01,13.94,527.86,3.97,62,0,0,0,,,2005
,9-07,(WED),141,1986.57,14.09,442,3.48,61,2,0,0,,,2005
,9-08,(THU),162,2340.14,14.45,500.59,3.45,61,2,0,0,,,2005
,9-09,(FRI),266,3741.22,14.06,840.07,3.36,65,1,0,0,,,2005
,9-10,(SAT),318,4595.72,14.45,1286.43,4.38,72,0,0,0,,,2005
*,9 - 11,(SUN),0,,,,,,,,,,,2005
,9 - 12,(MON),214,2852,13.33,656.87,3.25,67,3,0,0,,,2005
,9-13,(TUE),185,2655.58,14.35,616.86,3.57,60,0,0,0,,,2005
,9-14,(WED),176,2374.64,13.49,506.04,3.14,61,0,0,0,,,2005
,9-15,(THU),188,2900.22,15.43,786.3,4.34,65,0,0,0,,,2005
,9-16,(FRI),244,3766.61,15.44,1033.76,4.48,70,2,0,0,,,2005
,9 - 17,(SAT),286,4540.72,15.88,1344.17,4.91,73,3,0,0,,,2005
*,9-18,(SUN),0,,,,,,,,,,,2005
,9-19,(MON),156,1923.91,12.33,395.22,2.93,61,1,0,0,,,2005
,9-20,(TUE),9,74.69,8.3,25.69,5.14,60,1,0,0,,,2005
*,9 - 21,(WED),0,,,,,,,,,,,2005
,9-22,(THU),87,1169 . 18,13.44,228.96,2.97,57,0,0,0,,,2005
,9-23,(FRI),202,2997.01,14.84,740.67,4.05,63,0,0,0,,,2005
,9-24,(SAT),248,3752.88,15.13,993.84,4.34,69,0,0,0,,,2005
*,9-25,(SUN),0,,,,,,,,,,,2005
,9 - 26,(MON),153,2235.34,14.61,662.78,4.67,60,0,0,0,,,2005
,9-27,(TUE),132,1698.61,12.87,389.6,3.36,61,0,0,0,,,2005
,9-28,(WED),145,1920.03,13.24,504.75,3.85,66,3,0,0,,,2005
,9-29,(THU),131,1881.44,14.36,463.79,3.74,66,1,0,0,,,2005
,9 - 30,(FRI),143,2155.94,15.08,550.81,4.14,71,0,0,0,,,2005
,8-01,(MON),130,1886.09,14.51,452.87,3.77,60,1,0,0,,,2005
,8 - 02,(TUE),120,1567.6,13.06,373.05,3.42,55,0,0,0,,,2005
,8 - 03,(WED),165,2259.69,13.7,600.04,4.05,65,1,0,0,,,2005
,8-04,(THU),177,2689 . 31,15.19,616 . 93,3 . 63,64,0,0,0,,,2005
,8-05,(FRI),232,3332 . 01,14.36,868.69,3.98,66,0,0,0,,,2005
,8-06,(SAT),320,4709 . 31,14.72,1400.09,4 . 64,73,1,0,0,,,2005
*,8-07,(SUN),0,,,,,,,,,,,2005
,8 - 08,(MON),103,1446.41,14.04,330.19,3 . 59,62,0,0,0,,,2005
