DATE,(DAY),TCARS,TOTAL$,TTL/C,EXTRA$,EX$/C,%EX,,RVS,EOD/T,EOD/R,bad_2,year
,4-03,(FRI),190,2842.96,14.96,916.68,5.04,71,0,0,0,,2009
,4-04,(SAT),280,4289.69,15.32,1145.08,4.29,73,1,0,0,,2009
*,4-05,(SUN),0,,,,,,,,,,2009
,4 -06,(MON),235,3052.83,12.99,1140.02,5.09,73,0,0,0,,2009
,4 -07,(TUE),197,2948.19,14.97,943.6,5.05,67,2,0,0,,2009
,4-08,(WED),250,3561. 33,14.25,788.58,3.3,69,0,0,0,,2009
,4 -09,(THU),290,4462.15,15.39,1340.32,4.86,72,0,0,0,,2009
,4-10,(FRI),300,4850.98,16.17,1626.32,5.63,72,0,0,0,,2009
,4 -11,(SAT),357,5926.7,16.6,1967.95,5.75,74,1,1,1,,2009
*,4 - 12,(SUN),0,,,,,,,,,,2009
,4-13,(MON),264,3790.15,14.36,1673.92,6.78,74,2,0,0,,2009
,4-14,(TUE),189,3127.64,16.55,1087.03,6.01,77,1,0,0,,2009
,4-15,(WED),194,3009.96,15.52,1071.35,6.09,78,1,1,1,,2009
,4-16,(THU),267,4156.25,15.57,1347.63,5.43,75,0,0,0,,2009
,4-17,(FRI),256,4109.94,16.05,1426.72,5.97,73,2,0,0,,2009
,4 -18,(SAT),306,5486.1,17.93,2248.64,7.6,81,1,0,0,,2009
*,4-19,(SUN),0,,,,,,,,,,2009
,4-20,(MON),212,3422.65,16.14,1184.43,6.01,72,1,0,0,,2009
,4 -21,(TUE),195,3138.38,16.09,1118.77,6.08,76,1,0,0,,2009
,4 -22,(WED),213,3116.39,14.63,1187.51,5.97,70,1,0,0,,2009
,4 -2 3,(THU),239,3567.33,14.93,1079.5,4.78,75,0,0,0,,2009
,4-24,(FRI),253,4163.11,16.45,1496.91,6.42,77,1,0,0,,2009
,4 -25,(SAT),278,4357.58,15.67,1444.98,5.41,78,2,0,0,,2009
*,4-26,(SUN),0,,,,,,,,,,2009
,4-27,(MON),262,3894.17,14.86,1281.59,5.41,74,0,0,0,,2009
,4-28,(TUE),244,3893.06,15.96,1290.23,5.59,71,0,1,0,,2009
,4 -29,(WED),258,4040.68,15.66,1172.46,4.67,72,0,0,0,,2009
,4-30,(THU),262,3746.48,14.3,1156.38,4.68,74,0,0,0,,2009
*,3-01,(SUN),0,,,,,,,,,,2009
,3 -02,(MON),350,5369.01,15.34,1474.58,4.45,70,0,0,0,,2009
,3-03,(TUE),347,5148.31,14.84,1261. 87,3.76,68,1,0,0,,2009
,3 -04,(WED),335,4538.22,13.55,1561.8,4.85,67,0,0,0,,2009
,3-05,(THU),351,5208.21,14.84,1267.27,3.77,69,0,0,0,,2009
,3-06,(FRI),365,5835.84,15.99,1695.84,4.82,68,3,0,0,,2009
,3-07,(SAT),360,5612.34,15.59,1772.57,5.04,68,2,0,0,,2009
*,3-08,(SUN),0,,,,,,,,,,2009
,3-09,(MON),330,5050.84,15.31,1252.12,3.97,68,1,0,0,,2009
,3-10,(TUE),367,5186.45,14.13,1082.66,3.04,61,0,2,1,,2009
,3 -11,(WED),323,4287.48,13.27,1400.72,4.56,65,1,0,0,,2009
,3 -12,(THU),360,5479.8,15.22,1517.36,4.4,66,1,0,0,,2009
,3-13,(FRI),358,5524.06,15.43,1549.73,4.51,70,0,0,0,,2009
,3-14,(SAT),371,6421.76,17.31,2282.05,6.29,80,1,0,0,,2009
*,3-15,(SUN),0,,,,,,,,,,2009
,3-16,(MON),294,3947.16,13.43,1141.37,4.08,67,2,0,0,,2009
,3-17,(TUE),305,4456.93,14.61,1199.21,4.15,66,1,0,0,,2009
,3 -18,(WED),127,2069.79,16.3,641,5.34,73,1,0,0,,2009
,3-19,(THU),198,2998.87,15.15,882.65,4.72,69,0,0,0,,2009
,3-20,(FRI),442,6678.76,15.11,1848.29,4.42,70,0,0,0,,2009
,3-21,(SAT),416,6615.54,15.9,2076.96,5.21,73,1,0,0,,2009
*,3 -22,(SUN),0,,,,,,,,,,2009
,3 -23,(MON),263,4171. 56,15.86,1312.34,5.15,70,0,0,0,,2009
,3-24,(TUE),318,4718.07,14.84,1285.74,4.26,64,0,0,0,,2009
,3 -25,(WED),296,3399.23,11.48,1003.76,3.58,61,0,0,0,,2009
,3 -26,(THU),311,4588.06,14.75,1290.95,4.41,69,0,0,0,,2009
,3-27,(FRI),350,5416.04,15.47,1579.78,4.7,69,1,0,0,,2009
,3-28,(SAT),279,4541.17,16.28,1556.89,5.81,79,1,1,0,,2009
*,3-29,(SUN),0,,,,,,,,,,2009
,3 -30,(MON),296,4350.62,14.7,1081.42,3.88,67,0,0,0,,2009
,3-31,(TUE),235,3877.4,16.5,1198.44,5.3,72,0,0,0,,2009
*,2-01 (SUN),,0,,,,,,,,,,2009
,2-02 (MON),,16,202.74,12.67,,64.74,4.98,54,0,0,0,2009
,2 -03 (TUE),,291,4317.31,14.84,,1398.09,5.3,67,0,0,0,2009
,2-04 (WED),,269,3717.75,13.82,,1488.5,5.84,74,0,0,0,2009
,2-05 (THU),,243,3740.43,15.39,,984.21,4.15,72,1,0,0,2009
,2-06 (FRI),,307,4722.16,15.38,,1375.87,4.65,73,0,0,0,2009
,2 -07 (SAT),,305,5098.89,16.72,,1746.17,5.98,78,0,0,0,2009
*,2-08 (SUN),,0,,,,,,,,,,2009
,2-09 (MON),,282,4384.25,15.55,,1295.64,4.93,75,2,0,0,2009
,2-10 (TUE),,303,4649.58,15.35,,1291.54,4.41,67,1,0,0,2009
,2-11 (WED),,275,3877.52,14.1,,1262.76,4.77,68,0,0,0,2009
,2-12 (THU).,,267,4091.06,15.32,,1169.45,4.59,71,4,0,0,2009
,2-13 (FRI),,304,4629.79,15.23,,1492.61,5.26,73,0,0,0,2009
,2-14 (SAT),,395,6294.13,15.93,,1731.52,4.54,70,0,0,0,2009
*,2-15 (SUN),,0,,,,,,,,,,2009
,2-16 (MON),,296,3879.14,13.11,,1129.78,4.03,67,1,0,0,2009
,2-17 (TUE),,304,4822.94,15.86,,1470.72,5,70,0,0,0,2009
,2 -18 (WED),,271,3487.54,12.87,,993.95,3.84,68,0,0,0,2009
,2 -19 (THU),,288,4343.79,15.08,,1378.18,5.18,73,0,0,0,2009
,2 -20 (FRI),,382,5753.86,15.06,,1594.59,4.39,68,1,0,0,2009
,2- 21 (SAT),,394,6293.04,15.97,,1882.93,4.94,73,6,0,0,2009
*,2-22 (SUN),,0,,,,,,,,,,2009
,2-23 (MON),,312,4616.98,14.8,,1189.32,4.03,68,1,0,0,2009
,2-24 (TUE),,351,5192.16,14.79,,1212.55,3.56,70,0,0,0,2009
,2-25 (WED),,284,3828.39,13.48,,1206.61,4.47,65,2,0,0,2009
,2 -26 (THU),,352,5438.16,15.45,,1572.72,4.59,66,0,0,0,2009
,2 -27 (FRI),,381,5741.09,15.07,,1675.93,4.58,70,0,0,0,2009
,2- 28 (SAT),,392,6445.89,16.44,,1941.67,5.06,77,0,0,0,2009
*,1-01,(THU),0,,,,,,,,,,2009
,1-02,(FRI),360,5467.2,15.19,1525.54,4.45,70,2,0,0,,2009
,1 -03,(SAT),377,6234.13,16.54,2167.3,5.89,75,0,0,0,,2009
*,1-04,(SUN),0,,,,,,,,,,2009
,1-05,(MON),344,5482.92,15.94,1673.48,5.17,77,5,0,0,,2009
,1 -06,(TUE),330,5139.78,15.58,1508.34,4.73,71,0,0,0,,2009
,1-07,(WED),219,3114.8,14.22,1008.48,4.76,69,2,0,0,,2009
,1-08,(THU),327,5063.4,15.48,1592.35,5.06,66,0,0,0,,2009
,1-09,(FRI),330,5208.3,15.78,1845.03,5.88,71,0,0,0,,2009
,1-10,(SAT),355,6011.09,16.93,2422.25,7.21,73,1,0,0,,2009
*,1-11,(SUN),0,,,,,,,,,,2009
,1 -12,(MON),266,4361.88,16.4,1434.05,5.54,71,2,0,0,,2009
,1-13,(TUE),82,1229.24,14.99,396.24,5.15,77,0,0,0,,2009
,1-14,(WED),289,4076.68,14.11,1464.31,5.36,73,3,0,0,,2009
,1 -15,(THU),215,3188.98,14.83,992.94,4.94,69,0,0,0,,2009
,1-16,(FRI),273,3850.84,14.11,1072.62,4.19,65,0,0,0,,2009
,1 -17,(SAT),317,5022.54,15.84,1753.49,5.81,75,2,0,0,,2009
*,1 -18,(SUN),0,,,,,,,,,,2009
,1-19,(MON),179,2608.33,14.57,690.11,4.08,69,1,0,0,,2009
,1-20,(TUE),180,2639.06,14.66,683.95,4.07,64,3,0,0,,2009
,1-21,(WED),265,3463.89,13.07,1016.79,4.05,66,0,0,0,,2009
,1 -22,(THU),259,4140.43,15.99,1300.82,5.2,65,0,0,0,,2009
,1 -23,(FRI),365,5392.67,14.77,1487.45,4.3,68,1,0,1,,2009
,1 -24,(SAT),414,6700.37,16.18,2213.32,5.53,71,2,0,0,,2009
*,1-25,(SUN),0,,,,,,,,,,2009
,1-26,(MON),340,5309.43,15.62,1571.6,4.85,68,0,0,0,,2009
,1 -27,(TUE),281,4293.33,15.28,1060.5,3.93,74,2,0,0,,2009
,1-28,(WED),266,3824.71,14.38,1428.88,5.63,69,2,0,0,,2009
,1-29,(THU),262,4040.12,15.42,1147.9,4.65,73,0,0,0,,2009
,1 -30,(FRI),26,359.44,13.82,117.83,4.91,63,0,0,0,,2009
,1-31,(SAT),458,6792.29,14.83,1744.67,4,68,1,0,0,,2009
