wday,day,month,tcars,revenue,year
MON,01,12,321,5350.64,2014
TUE,02,12,290,4699.61,2014
WED,03,12,309,5028.07,2014
THU,04,12,307,5056.97,2014
FRI,05,12,223,3451.99,2014
SAT,06,12,399,6630.57,2014
SUN,07,12,0,0,2014
MON,08,12,296,NA,2014
TUE,09,12,158,2561.05,2014
WED,10,12,255,NA,2014
THU,11,12,323,5239.85,2014
FRI,12,12,305,NA,2014
SAT,13,12,352,5893.54,2014
SUN,14,12,0,0,2014
MON,15,12,301,4352.47,2014
TUE,16,12,306,5318.43,2014
WED,17,12,304,5064.23,2014
THU,18,12,303,NA,2014
FRI,19,12,364,NA,2014
SAT,20,12,392,6954.45,2014
SUN,21,12,0,0,2014
MON,22,12,318,5576.87,2014
TUE,23,12,293,5313.24,2014
WED,24,12,263,4480.51,2014
THU,25,12,0,0,2014
FRI,26,12,237,NA,2014
SAT,27,12,244,4472.42,2014
SUN,28,12,0,0,2014
MON,29,12,380,NA,2014
TUE,30,12,407,NA,2014
WED,31,12,394,6968.37,2014
SAT,01,11,315,4985.99,2014
SUN,02,11,0,0,2014
MON,03,11,367,NA,2014
TUE,04,11,310,5056.34,2014
WED,05,11,272,NA,2014
THU,06,11,335,5669.03,2014
FRI,07,11,324,NA,2014
SAT,08,11,303,5228.48,2014
SUN,09,11,0,0,2014
MON,10,11,236,3759.68,2014
TUE,11,11,244,NA,2014
WED,12,11,241,3948.26,2014
THU,13,11,250,4407.07,2014
FRI,14,11,309,5552.24,2014
SAT,15,11,298,NA,2014
SUN,16,11,0,0,2014
MON,17,11,217,3669.63,2014
TUE,18,11,24,485.84,2014
WED,19,11,163,2545.01,2014
THU,20,11,263,4346.35,2014
FRI,21,11,80,NA,2014
SAT,22,11,202,3261.83,2014
SUN,23,11,0,0,2014
MON,24,11,309,16.38,2014
TUE,25,11,213,3547.11,2014
WED,26,11,105,1639.58,2014
THU,27,11,0,0,2014
FRI,28,11,318,NA,2014
SAT,29,11,348,NA,2014
SUN,30,11,0,0,2014
WED,01,10,82,1260.65,2014
THU,02,10,195,3112.11,2014
FRI,03,10,242,4021.69,2014
SAT,04,10,209,3401.03,2014
SUN,05,10,0,0,2014
MON,06,10,221,4076.68,2014
TUE,07,10,78,1219.58,2014
WED,08,10,205,NA,2014
THU,09,10,258,4332.81,2014
FRI,10,10,281,NA,2014
SAT,11,10,327,6120.81,2014
SUN,12,10,0,0,2014
MON,13,10,174,2919.39,2014
TUE,14,10,154,2464.93,2014
WED,15,10,114,1979.92,2014
THU,16,10,250,4029.85,2014
FRI,17,10,304,NA,2014
SAT,18,10,303,5377.19,2014
SUN,19,10,0,0,2014
MON,20,10,226,3811.38,2014
TUE,21,10,90,NA,2014
WED,22,10,133,2275.72,2014
THU,23,10,230,NA,2014
NA,24,10,342,5601.75,2014
SAT,25,10,341,6095.23,2014
SUN,26,10,0,0,2014
MON,27,10,317,5717.04,2014
TUE,28,10,301,4769.63,2014
WED,29,10,302,4938.55,2014
THU,30,10,286,4806.76,2014
MON,01,9,0,0,2014
TUE,02,9,111,1627.88,2014
WED,03,9,113,NA,2014
THU,04,9,137,2160.54,2014
FRI,05,9,169,2781.44,2014
SAT,06,9,188,3249.19,2014
SUN,07,9,0,0,2014
MON,08,9,134,2147.58,2014
TUE,09,9,104,1629.35,2014
WED,10,9,90,1481.54,2014
THU,11,9,140,2399.14,2014
FRI,12,9,52,816.05,2014
SAT,13,9,175,2813.07,2014
SUN,14,9,0,0,2014
MON,15,9,150,2518.02,2014
TUE,16,9,134,1931.23,2014
WED,17,9,82,1174.36,2014
THU,18,9,4,NA,2014
FRI,19,9,1,NA,2014
SAT,20,9,74,1176.18,2014
SUN,21,9,0,0,2014
MON,22,9,77,1176.93,2014
TUE,23,9,27,432.99,2014
WED,24,9,161,NA,2014
THU,25,9,156,2476.44,2014
FRI,26,9,102,NA,2014
SAT,27,9,144,2534.01,2014
SUN,28,9,0,0,2014
MON,29,9,178,2635.28,2014
TUE,30,9,133,2078.19,2014
FRI,01,8,130,2034.71,2014
SAT,02,8,217,3675.65,2014
SUN,03,8,0,0,2014
MON,04,8,45,606.08,2014
TUE,05,8,80,1212.53,2014
WED,06,8,132,2054.48,2014
THU,07,8,91,1367.04,2014
FRI,08,8,163,2792.82,2014
SAT,09,8,159,2857.25,2014
SUN,10,8,0,0,2014
MON,11,8,167,2654.57,2014
TUE,12,8,159,NA,2014
WED,13,8,99,1650.73,2014
THU,14,8,153,2555.77,2014
FRI,15,8,134,2365.97,2014
SAT,16,8,154,2487.85,2014
SUN,17,8,0,0,2014
MON,18,8,113,1609.28,2014
TUE,19,8,144,2429.27,2014
WED,20,8,123,2013.09,2014
THU,21,8,129,1764.98,2014
FRI,22,8,173,2897.34,2014
SAT,23,8,190,3360.31,2014
SUN,24,8,0,0,2014
MON,25,8,95,1474.38,2014
TUE,26,8,166,2609.16,2014
WED,27,8,164,2385.88,2014
THU,28,8,16,175.39,2014
FRI,29,8,192,3386.14,2014
SAT,30,8,217,3572.24,2014
TUE,01,7,100,1690.66,2014
WED,02,7,128,NA,2014
THU,03,7,163,2602.47,2014
FRI,04,7,0,0,2014
SAT,05,7,78,1253.48,2014
SUN,06,7,0,0,2014
MON,07,7,3,NA,2014
TUE,08,7,139,1992.85,2014
WED,09,7,134,2083.38,2014
THU,10,7,79,1222.96,2014
FRI,11,7,134,2319.58,2014
SAT,12,7,121,2102.25,2014
SUN,13,7,0,0,2014
MON,14,7,96,1487.82,2014
TUE,15,7,21,199.53,2014
WED,16,7,68,1034.78,2014
THU,17,7,108,1661.13,2014
FRI,18,7,213,3629.45,2014
SAT,19,7,224,NA,2014
SUN,20,7,0,0,2014
MON,21,7,122,1904.54,2014
TUE,22,7,34,668.37,2014
WED,23,7,128,1873.54,2014
THU,24,7,112,1724.45,2014
FRI,25,7,154,2651.89,2014
SAT,26,7,123,1874.51,2014
SUN,27,7,0,0,2014
MON,28,7,146,2332.79,2014
TUE,29,7,123,NA,2014
WED,30,7,108,1807.15,2014
SUN,01,6,0,0,2014
MON,02,6,16,151.53,2014
TUE,03,6,47,700.26,2014
WED,04,6,146,2287.57,2014
THU,05,6,176,2576.15,2014
FRI,06,6,252,4251.91,2014
SAT,07,6,231,4140.24,2014
SUN,08,6,0,0,2014
MON,09,6,122,1906.29,2014
TUE,10,6,102,1416.07,2014
WED,11,6,144,2337.76,2014
THU,12,6,85,1243.58,2014
FRI,13,6,162,2321.45,2014
SAT,14,6,179,2964.29,2014
SUN,15,6,0,0,2014
MON,16,6,139,2271.44,2014
TUE,17,6,86,1420.41,2014
WED,18,6,79,1117.97,2014
THU,19,6,103,1438.55,2014
FRI,20,6,164,2633.52,2014
SAT,21,6,180,2779.59,2014
SUN,22,6,0,0,2014
MON,23,6,171,2536.57,2014
TUE,24,6,161,2701.14,2014
WED,25,6,144,2433.52,2014
THU,26,6,118,1964.73,2014
FRI,27,6,100,1531.49,2014
SAT,28,6,166,2364.92,2014
SUN,29,6,0,0,2014
MON,30,6,120,2023.84,2014
THU,01,5,250,4445.34,2014
FRI,02,5,230,4119.43,2014
SAT,03,5,128,2436.71,2014
SUN,04,5,0,0,2014
MON,05,5,361,5186.41,2014
TUE,06,5,298,5018.35,2014
WED,07,5,236,4071.71,2014
THU,08,5,253,4049.39,2014
FRI,09,5,311,5292.22,2014
SAT,10,5,284,4746.47,2014
SUN,11,5,0,0,2014
MON,12,5,237,3785.87,2014
TUE,13,5,201,3454.48,2014
WED,14,5,134,2117.05,2014
THU,15,5,82,NA,2014
FRI,16,5,231,NA,2014
SAT,17,5,274,4675.75,2014
SUN,18,5,0,0,2014
MON,19,5,239,NA,2014
TUE,20,5,205,3360.31,2014
WED,21,5,185,3012.52,2014
THU,22,5,234,3862.85,2014
FRI,23,5,259,4582.91,2014
SAT,24,5,276,NA,2014
SUN,25,5,0,0,2014
MON,26,5,0,0,2014
TUE,27,5,188,2639.84,2014
WED,28,5,154,2404.24,2014
THU,29,5,98,1580.61,2014
FRI,30,5,107,1394.96,2014
TUE,01,4,334,5694.48,2014
WED,02,4,352,5756.13,2014
THU,03,4,316,5422.87,2014
FRI,04,4,358,5995.13,2014
SAT,05,4,382,6024.98,2014
SUN,06,4,0,0,2014
MON,07,4,269,4599.34,2014
TUE,08,4,78,1214.35,2014
WED,09,4,211,3435.67,2014
THU,10,4,286,NA,2014
FRI,11,4,298,5073.74,2014
SAT,12,4,321,5934.78,2014
SUN,13,4,0,0,2014
MON,14,4,222,3827.56,2014
TUE,15,4,193,3097.97,2014
WED,16,4,194,3121.69,2014
THU,17,4,172,2900.08,2014
FRI,18,4,165,2612.84,2014
