wday,day,month,tcars,revenue,year
MON,01,12,NA,NA,2008
TUE,02,12,NA,NA,2008
WED,03,12,NA,NA,2008
THU,04,12,NA,NA,2008
FRI,05,12,NA,NA,2008
SAT,06,12,NA,NA,2008
SUN,07,12,NA,NA,2008
MON,08,12,NA,NA,2008
TUE,09,12,NA,NA,2008
WED,10,12,NA,NA,2008
THU,11,12,NA,NA,2008
FRI,12,12,NA,NA,2008
SAT,13,12,NA,NA,2008
SUN,14,12,NA,NA,2008
MON,15,12,NA,NA,2008
TUE,16,12,NA,NA,2008
WED,17,12,NA,NA,2008
THU,18,12,NA,NA,2008
FRI,19,12,NA,NA,2008
SAT,20,12,NA,NA,2008
SUN,21,12,NA,NA,2008
MON,22,12,NA,NA,2008
TUE,23,12,NA,NA,2008
WED,24,12,NA,NA,2008
THU,25,12,NA,NA,2008
FRI,26,12,NA,NA,2008
SAT,27,12,NA,NA,2008
SUN,28,12,NA,NA,2008
MON,29,12,NA,NA,2008
TUE,30,12,NA,NA,2008
SAT,01,11,290,4638.46,2008
SUN,02,11,0,0,2008
MON,03,11,211,3188.89,2008
TUE,04,11,220,3549.47,2008
WED,05,11,229,3106.96,2008
THU,06,11,236,3659.46,2008
FRI,07,11,305,4807.54,2008
SAT,08,11,284,NA,2008
SUN,09,11,0,0,2008
MON,10,11,254,4257.86,2008
TUE,11,11,233,3334.96,2008
WED,12,11,187,2828.93,2008
THU,13,11,254,3845.25,2008
FRI,14,11,295,4267.82,2008
SAT,15,11,268,4326.95,2008
SUN,16,11,0,0,2008
MON,17,11,256,3746.12,2008
TUE,18,11,223,2951.42,2008
WED,19,11,207,NA,2008
THU,20,11,226,3235.81,2008
FRI,21,11,303,4655.06,2008
SAT,22,11,308,5042.25,2008
SUN,23,11,0,0,2008
MON,24,11,233,3486.29,2008
TUE,25,11,283,4317.95,2008
WED,26,11,371,5976.84,2008
THU,27,11,0,0,2008
FRI,28,11,205,3180.61,2008
SAT,29,11,264,NA,2008
SUN,30,11,0,0,2008
WED,01,10,144,1508.54,2008
THU,02,10,134,NA,2008
FRI,03,10,200,NA,2008
SAT,04,10,114,2184.09,2008
SUN,05,10,0,0,2008
MON,06,10,98,1483.18,2008
TUE,07,10,114,NA,2008
WED,08,10,115,1562.61,2008
THU,09,10,63,997.23,2008
FRI,10,10,181,2616.88,2008
SAT,11,10,252,4077.43,2008
SUN,12,10,0,0,2008
MON,13,10,91,1382.45,2008
TUE,14,10,145,2323.82,2008
WED,15,10,156,14.08,2008
THU,16,10,190,2804.74,2008
FRI,17,10,264,4050.74,2008
SAT,18,10,283,4686.74,2008
SUN,19,10,0,0,2008
MON,20,10,214,3224.61,2008
TUE,21,10,228,3333.03,2008
WED,22,10,120,2055.83,2008
THU,23,10,76,15.64,2008
FRI,24,10,0,0,2008
SAT,25,10,125,1906.21,2008
SUN,26,10,0,0,2008
MON,27,10,246,3792.49,2008
TUE,28,10,376,NA,2008
WED,29,10,0,0,2008
THU,30,10,196,NA,2008
FRI,31,10,205,NA,2008
MON,01,9,0,0,2008
TUE,02,9,120,1770.82,2008
WED,03,9,131,2175.32,2008
THU,04,9,142,2075.77,2008
FRI,05,9,90,NA,2008
SAT,06,9,192,3136.67,2008
SUN,07,9,0,0,2008
MON,08,9,107,2006.32,2008
TUE,09,9,14,130.17,2008
WED,10,9,0,0,2008
THU,11,9,83,1295.16,2008
FRI,12,9,225,3251.38,2008
SAT,13,9,252,4360.11,2008
SUN,14,9,0,0,2008
MON,15,9,159,2268.25,2008
TUE,16,9,109,NA,2008
WED,17,9,132,2090.47,2008
THU,18,9,121,NA,2008
FRI,19,9,177,2474.95,2008
SAT,20,9,211,3599.48,2008
SUN,21,9,0,0,2008
MON,22,9,91,1239.79,2008
TUE,23,9,60,846.46,2008
