wday,day,month,tcars,revenue,year
SUN,01,12,0,0,2002
MON,02,12,144,1877.52,2002
TUE,03,12,198,2604.09,2002
WED,04,12,191,2160.08,2002
THU,05,12,160,NA,2002
FRI,06,12,99,1329.18,2002
SAT,07,12,271,3994.03,2002
SUN,08,12,0,0,2002
MON,09,12,0,0,2002
TUE,10,12,122,1434.57,2002
WED,11,12,190,2652.79,2002
THU,12,12,128,1670.45,2002
FRI,13,12,7,92.64,2002
SAT,14,12,363,5214.98,2002
SUN,15,12,0,0,2002
MON,16,12,256,3296.32,2002
TUE,17,12,264,NA,2002
WED,18,12,252,2987.64,2002
THU,19,12,290,4011.36,2002
FRI,20,12,38,591.24,2002
SAT,21,12,384,5579.92,2002
SUN,22,12,0,0,2002
MON,23,12,308,4305.25,2002
TUE,24,12,216,2985.98,2002
WED,25,12,0,0,2002
THU,26,12,239,2828.46,2002
FRI,27,12,249,3473.38,2002
SAT,28,12,302,NA,2002
SUN,29,12,0,0,2002
MON,30,12,318,3805.83,2002
TUE,31,12,287,NA,2002
FRI,01,11,NA,NA,2002
SAT,02,11,NA,NA,2002
SUN,03,11,NA,NA,2002
MON,04,11,NA,NA,2002
TUE,05,11,NA,NA,2002
WED,06,11,NA,NA,2002
THU,07,11,NA,NA,2002
FRI,08,11,NA,NA,2002
SAT,09,11,NA,NA,2002
SUN,10,11,NA,NA,2002
MON,11,11,NA,NA,2002
TUE,12,11,NA,NA,2002
WED,13,11,NA,NA,2002
THU,14,11,NA,NA,2002
FRI,15,11,NA,NA,2002
TUE,01,10,NA,NA,2002
WED,02,10,NA,NA,2002
THU,03,10,NA,NA,2002
FRI,04,10,NA,NA,2002
SAT,05,10,NA,NA,2002
SUN,06,10,NA,NA,2002
MON,07,10,NA,NA,2002
TUE,08,10,NA,NA,2002
WED,09,10,NA,NA,2002
THU,10,10,NA,NA,2002
FRI,11,10,NA,NA,2002
SAT,12,10,NA,NA,2002
SUN,13,10,NA,NA,2002
SUN,01,9,0,0,2002
MON,02,9,0,0,2002
TUE,03,9,110,1451.03,2002
WED,04,9,123,1568.11,2002
THU,05,9,104,1440.02,2002
FRI,06,9,134,1682.91,2002
SAT,07,9,218,3263.84,2002
SUN,08,9,0,0,2002
MON,09,9,149,1929.93,2002
TUE,10,9,112,NA,2002
WED,11,9,2,11.50,2002
THU,12,9,26,460.91,2002
FRI,13,9,110,1397.33,2002
SAT,14,9,270,3959.22,2002
SUN,15,9,0,0,2002
MON,16,9,204,2625.14,2002
TUE,17,9,136,1868.14,2002
WED,18,9,170,2399.07,2002
THU,19,9,132,1897.25,2002
FRI,20,9,176,2274.02,2002
SAT,21,9,246,3543.28,2002
SUN,22,9,0,0,2002
MON,23,9,20,237.16,2002
TUE,24,9,92,NA,2002
WED,25,9,116,NA,2002
THU,26,9,125,1737.36,2002
FRI,27,9,205,NA,2002
SAT,28,9,277,NA,2002
SUN,29,9,0,0,2002
MON,30,9,180,2573.21,2002
THU,01,8,189,NA,2002
FRI,02,8,211,3184.52,2002
SAT,03,8,297,4386.68,2002
SUN,04,8,0,0,2002
MON,05,8,157,2262.64,2002
TUE,06,8,146,2070.38,2002
WED,07,8,121,1534.11,2002
THU,08,8,115,1438.86,2002
FRI,09,8,189,2741.01,2002
SAT,10,8,235,3402.81,2002
SUN,11,8,0,0,2002
MON,12,8,139,1801.76,2002
TUE,13,8,92,1159.78,2002
WED,14,8,111,1477.58,2002
THU,15,8,123,1579.82,2002
FRI,16,8,122,1612.93,2002
SAT,17,8,193,2789.34,2002
SUN,18,8,0,0,2002
MON,19,8,110,1552.28,2002
TUE,20,8,117,1622.91,2002
WED,21,8,77,1043.53,2002
THU,22,8,103,1457.06,2002
NA,23,8,8,2218.94,2002
SAT,24,8,263,3945.41,2002
SUN,25,8,0,0,2002
MON,26,8,122,1605.62,2002
TUE,27,8,52,494.02,2002
WED,28,8,93,1214.08,2002
THU,29,8,115,1522.03,2002
FRI,30,8,132,1833.65,2002
SAT,31,8,151,2092.49,2002
MON,01,7,106,1232.43,2002
TUE,02,7,109,1558.02,2002
WED,03,7,218,3178.15,2002
THU,04,7,0,0,2002
FRI,05,7,232,3330.72,2002
SAT,06,7,96,1523.92,2002
SUN,07,7,0,0,2002
MON,08,7,52,619.03,2002
TUE,09,7,52,673.37,2002
WED,10,7,32,378.76,2002
THU,11,7,110,1491.76,2002
FRI,12,7,221,2912.89,2002
SAT,13,7,261,3971.09,2002
SUN,14,7,0,0,2002
MON,15,7,189,2556.03,2002
TUE,16,7,184,2550.74,2002
WED,17,7,138,1956.62,2002
THU,18,7,121,1520.97,2002
FRI,19,7,167,2348.25,2002
SAT,20,7,218,3068.68,2002
SUN,21,7,0,0,2002
MON,22,7,140,1903.38,2002
TUE,23,7,114,1572.46,2002
WED,24,7,119,1684.69,2002
THU,25,7,113,1629.47,2002
FRI,26,7,106,1386.54,2002
SAT,27,7,165,2503.92,2002
SUN,28,7,0,0,2002
MON,29,7,133,1714.74,2002
TUE,30,7,119,1759.29,2002
SAT,01,6,268,3867.54,2002
SUN,02,6,0,0,2002
MON,03,6,221,2876.35,2002
TUE,04,6,140,NA,2002
WED,05,6,91,1133.77,2002
THU,06,6,149,1985.96,2002
FRI,07,6,188,2551.71,2002
SAT,08,6,154,2071.35,2002
SUN,09,6,0,0,2002
MON,10,6,139,1804.87,2002
TUE,11,6,95,1256.65,2002
WED,12,6,93,1161.92,2002
THU,13,6,45,547.73,2002
FRI,14,6,41,483.36,2002
SAT,15,6,0,0,2002
SUN,16,6,0,0,2002
MON,17,6,94,1182.37,2002
TUE,18,6,120,1619.61,2002
WED,19,6,111,1417.32,2002
THU,20,6,102,1335.55,2002
FRI,21,6,59,887.33,2002
SAT,22,6,23,389.58,2002
SUN,23,6,0,0,2002
MON,24,6,109,NA,2002
TUE,25,6,90,1142.71,2002
WED,26,6,122,1615.31,2002
THU,27,6,101,1424.55,2002
FRI,28,6,143,1976.24,2002
SAT,29,6,152,2281.07,2002
SUN,30,6,0,0,2002
WED,01,5,246,3425.13,2002
THU,02,5,283,3963.17,2002
FRI,03,5,339,4639.04,2002
SAT,04,5,412,6113.93,2002
SUN,05,5,0,0,2002
MON,06,5,300,3982.75,2002
TUE,07,5,245,3458.02,2002
WED,08,5,255,3076.33,2002
THU,09,5,288,3534.07,2002
FRI,10,5,335,NA,2002
SAT,11,5,373,5497.68,2002
SUN,12,5,0,0,2002
MON,13,5,258,3546.89,2002
TUE,14,5,232,2935.48,2002
WED,15,5,199,2346.95,2002
THU,16,5,154,2003.81,2002
FRI,17,5,249,3302.69,2002
SAT,18,5,293,4203.84,2002
SUN,19,5,0,0,2002
MON,20,5,117,1602.96,2002
TUE,21,5,143,1700.39,2002
WED,22,5,178,2051.18,2002
THU,23,5,190,NA,2002
FRI,24,5,287,NA,2002
SAT,25,5,273,NA,2002
SUN,26,5,0,0,2002
MON,27,5,0,0,2002
TUE,28,5,196,2583.52,2002
WED,29,5,181,2434.25,2002
THU,30,5,207,2799.19,2002
MON,01,4,306,3854.45,2002
TUE,02,4,299,3894.37,2002
WED,03,4,288,3800.36,2002
THU,04,4,322,4374.58,2002
FRI,05,4,382,5379.38,2002
SAT,06,4,417,5614.26,2002
SUN,07,4,0,0,2002
